symbol,name,aliases
AAPL,Apple Inc,"[""$AAPL"", ""aapl"", ""app store"", ""apple"", ""apple computer"", ""apple corporation"", ""apple inc"", ""ios"", ""ipad"", ""iphone"", ""itunes"", ""mac"", ""macbook""]"
MSFT,Microsoft Corporation,"[""$MSFT"", ""azure"", ""bing"", ""github"", ""linkedin"", ""microsoft"", ""microsoft corporation"", ""msft"", ""office"", ""teams"", ""windows"", ""xbox""]"
GOOGL,Alphabet Inc,"[""$GOOGL"", ""ads"", ""alphabet"", ""alphabet corporation"", ""alphabet inc"", ""android"", ""chrome"", ""gmail"", ""goog"", ""googl"", ""google"", ""maps"", ""search"", ""youtube""]"
AMZN,Amazon.com Inc,"[""$AMZN"", ""alexa"", ""amazon"", ""amazon corporation"", ""amazon inc"", ""amazon.com"", ""amzn"", ""aws"", ""echo"", ""kindle"", ""prime""]"
TSLA,Tesla Inc,"[""$TSLA"", ""autopilot"", ""cybertruck"", ""model 3"", ""model s"", ""model x"", ""model y"", ""supercharger"", ""tesla"", ""tesla corporation"", ""tesla inc"", ""tesla motors"", ""tsla""]"
META,Meta Platforms Inc,"[""$META"", ""facebook"", ""fb"", ""instagram"", ""meta"", ""meta inc"", ""meta platforms"", ""metaverse"", ""oculus"", ""vr"", ""whatsapp""]"
NVDA,NVIDIA Corporation,"[""$NVDA"", ""ai"", ""cuda"", ""gaming"", ""gpu"", ""gtx"", ""nvda"", ""nvidia"", ""nvidia corporation"", ""nvidia inc"", ""rtx"", ""tensor""]"
BRK.B,Berkshire Hathaway Inc,"[""$BRK.B"", ""berkshire"", ""berkshire hathaway"", ""brk"", ""brk.b""]"
JPM,JPMorgan Chase & Co,"[""$JPM"", ""chase bank"", ""investment bank"", ""jp morgan"", ""jpm"", ""jpmorgan"", ""jpmorgan chase"", ""jpmorgan chase & co""]"
V,Visa Inc,"[""$V"", ""v"", ""visa"", ""visa card"", ""visa corporation"", ""visa inc"", ""visa international"", ""visa network"", ""visa payment"", ""visa worldwide""]"
JNJ,Johnson & Johnson,"[""$JNJ"", ""consumer health"", ""healthcare"", ""jnj"", ""johnson"", ""johnson & johnson"", ""medical devices"", ""pharmaceutical""]"
WMT,Walmart Inc,"[""$WMT"", ""retail"", ""sam's club"", ""supercenter"", ""wal-mart"", ""walmart"", ""walmart corporation"", ""walmart inc"", ""wmt""]"
PG,Procter & Gamble Co,"[""$PG"", ""consumer goods"", ""household products"", ""p&g"", ""personal care"", ""pg"", ""procter"", ""procter & gamble""]"
UNH,UnitedHealth Group Inc,"[""$UNH"", ""health insurance"", ""medicare"", ""optum"", ""unh"", ""united healthcare"", ""unitedhealth"", ""unitedhealth group""]"
MA,Mastercard Inc,"[""$MA"", ""ma"", ""mastercard"", ""mastercard corporation"", ""mastercard inc"", ""mastercard international"", ""mastercard network"", ""mastercard payment""]"
HD,Home Depot Inc,"[""$HD"", ""appliances"", ""construction materials"", ""hardware store"", ""hd"", ""home depot"", ""home improvement"", ""tools""]"
DIS,Walt Disney Co,"[""$DIS"", ""abc"", ""dis"", ""disney"", ""disney corporation"", ""disney world"", ""disneyland"", ""espn"", ""marvel"", ""pixar"", ""star wars"", ""walt disney""]"
